Obs,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,job_type,salary
3551,0.85,0.78,5,263,2,1,0,0,technica,low
3552,0.66,0.68,3,258,3,0,0,0,technica,low
3554,0.31,0.64,6,183,2,1,0,0,technica,low
3556,0.72,0.72,5,194,4,0,0,0,technica,low
3561,0.16,0.88,6,218,3,0,0,0,support,low
3562,0.95,0.4,5,286,4,0,0,0,support,low
3564,0.85,0.89,4,251,2,0,0,0,support,low
3566,0.63,0.86,3,269,4,0,0,0,support,low
3568,0.53,0.85,5,161,2,0,0,0,technica,medium
3570,0.73,0.83,2,167,3,0,0,0,technica,medium
3574,0.76,0.72,4,266,3,0,0,0,IT,medium
3576,0.64,0.38,6,215,3,0,0,0,IT,medium
3583,0.62,0.91,3,133,3,0,0,0,RandD,medium
3584,0.98,0.65,4,216,4,0,0,0,RandD,medium
3591,0.64,0.71,5,212,2,0,0,0,technica,low
3592,1,0.76,5,201,3,0,0,0,manageme,low
3593,0.75,0.59,5,206,2,0,0,0,marketin,low
3594,0.81,0.77,4,197,3,0,0,0,marketin,low
3595,0.31,0.98,5,232,5,0,0,0,marketin,low
3599,0.77,0.86,5,282,4,0,0,0,sales,low
3601,0.68,0.41,3,106,6,0,0,0,sales,low
3609,0.89,0.66,5,224,2,0,0,0,sales,medium
3612,0.6,0.99,4,225,3,0,0,0,sales,medium
3616,0.75,1,3,102,3,0,0,0,accounti,medium
3617,0.7,0.67,4,181,3,0,0,0,accounti,medium
3618,0.23,0.64,5,150,5,0,0,0,hr,medium
3619,0.73,0.83,4,270,2,0,0,0,hr,high
3623,0.61,0.94,3,224,4,0,0,0,technica,medium
3624,0.52,0.92,3,150,2,1,0,0,technica,medium
3626,0.59,0.9,3,245,3,1,0,0,technica,low
3627,0.71,0.8,3,182,2,1,0,0,technica,low
3638,0.55,0.41,4,132,5,1,0,0,support,medium
3640,0.71,0.77,2,255,3,0,0,0,support,medium
3641,0.63,0.82,5,229,2,0,0,0,support,medium
3655,0.69,0.53,4,281,4,0,0,0,product_,medium
3658,0.78,0.91,3,238,2,0,0,0,RandD,high
3666,0.91,0.53,3,147,4,1,0,0,support,high
3667,0.66,0.61,5,259,3,0,0,0,technica,high
3674,0.51,0.52,3,132,3,0,0,0,sales,low
3680,0.84,0.53,3,237,3,1,0,0,sales,low
3681,0.97,0.75,2,271,6,0,0,0,sales,low
3685,0.76,0.56,4,214,2,1,0,0,sales,medium
3686,0.68,0.88,5,201,3,0,0,0,sales,medium
3690,0.62,0.63,2,123,2,0,0,0,sales,medium
3691,0.77,0.76,3,201,4,0,0,0,accounti,medium
3699,0.42,0.86,2,108,5,0,0,0,technica,high
3700,0.96,0.75,4,165,3,0,0,0,technica,high
3706,0.7,0.91,4,181,2,1,0,0,technica,low
3712,0.59,0.49,4,164,3,0,0,0,support,low
3718,0.73,0.95,3,156,2,0,0,0,support,medium
3720,0.57,0.45,3,189,2,0,0,0,technica,medium
3723,0.72,0.91,3,239,2,0,0,0,manageme,medium
3726,0.86,0.96,4,146,3,0,0,0,IT,medium
3728,0.81,0.52,3,255,5,0,0,0,IT,medium
3732,0.95,0.49,4,229,3,0,0,0,product_,medium
3733,0.29,0.43,3,162,4,0,0,0,IT,medium
3735,0.21,0.56,6,277,5,0,0,0,RandD,medium
3748,0.96,0.53,5,224,4,0,0,0,sales,low
3749,0.8,0.58,5,127,3,0,0,0,sales,low
3753,0.54,0.48,3,152,2,0,0,0,sales,low
3754,0.48,0.76,5,236,2,0,0,0,sales,low
3759,0.81,0.8,4,227,2,1,0,0,sales,low
3760,0.5,0.88,4,265,3,1,0,0,sales,low
3762,0.84,0.49,4,152,3,0,0,0,sales,low
3766,0.94,0.57,4,251,2,1,0,0,sales,medium
3767,0.44,0.74,5,253,2,0,0,0,accounti,medium
3768,0.92,0.85,3,155,2,0,0,0,accounti,medium
3770,0.56,0.56,4,195,2,0,0,0,hr,medium
3772,0.8,0.91,3,246,3,0,0,0,hr,medium
3773,0.6,0.81,2,214,3,0,0,0,hr,high
3774,0.73,0.73,5,249,3,0,0,0,technica,medium
3778,0.9,0.94,4,231,3,0,0,0,technica,medium
3780,0.51,0.6,5,175,3,0,0,0,technica,medium
3781,0.86,0.96,5,238,5,0,0,0,technica,low
3783,0.83,0.93,3,220,4,0,0,0,technica,low
3786,0.79,0.97,5,187,3,0,0,0,support,low
3787,0.37,0.71,3,117,3,0,0,0,support,low
3788,0.85,0.9,3,184,3,1,0,0,support,low
3790,0.99,0.62,4,140,2,1,0,0,support,low
3791,0.55,0.63,3,201,2,1,0,0,support,high
3794,0.69,0.9,5,231,2,1,0,0,support,low
3796,0.17,0.88,6,226,3,1,0,0,technica,high
3798,0.65,0.59,4,192,3,0,0,0,technica,low
3799,0.57,0.49,4,247,2,0,0,0,manageme,low
3802,0.5,0.6,2,177,3,1,0,0,IT,medium
3806,0.68,0.59,3,141,3,0,0,0,product_,medium
3814,0.83,0.8,4,274,3,0,0,0,RandD,high
3819,0.39,0.56,6,228,5,0,0,0,technica,medium
3820,0.62,0.63,3,230,2,0,0,0,manageme,medium
3821,0.79,0.54,5,212,4,0,0,0,marketin,medium
3826,0.9,0.51,4,214,2,0,0,0,sales,low
3827,0.97,0.65,3,181,3,0,0,0,sales,low
3829,0.58,0.79,5,262,2,0,0,0,sales,high
3831,0.83,0.73,5,136,3,0,0,0,sales,low
3833,0.69,0.9,5,226,4,0,0,0,sales,high
3834,0.81,0.81,5,215,2,0,0,0,sales,low
3835,0.19,0.5,6,143,5,1,0,0,sales,low
3837,0.58,0.63,4,271,3,0,0,0,sales,low
3841,0.71,0.56,3,198,3,0,0,0,sales,medium
3842,0.76,0.61,3,141,2,0,0,0,sales,medium
3844,0.26,0.69,2,168,5,0,0,0,accounti,medium
3845,0.75,0.57,5,162,3,0,0,0,accounti,medium
3850,0.65,0.55,5,261,3,1,0,0,technica,medium
3854,0.74,0.77,3,233,3,0,0,0,technica,low
3856,0.7,0.56,5,208,3,0,0,0,technica,medium
3858,0.71,0.68,4,221,4,0,0,0,technica,medium
3861,0.88,0.89,2,160,4,0,0,0,support,low
3862,0.79,0.83,2,192,3,0,0,0,support,low
3864,0.57,0.96,4,264,2,0,0,0,support,low
3865,0.68,0.8,4,186,3,1,0,0,support,low
3867,0.7,0.9,4,216,3,0,0,0,support,low
3874,0.22,0.64,3,193,2,0,0,0,technica,low
3876,0.54,0.84,3,132,3,0,0,0,IT,low
3879,0.23,0.84,5,140,4,0,0,0,IT,low
3885,0.55,0.49,3,191,3,0,0,0,IT,medium
3890,0.76,0.52,3,248,3,0,0,0,RandD,medium
3891,0.42,0.56,2,103,3,1,0,0,marketin,medium
3894,0.67,0.95,4,241,4,0,0,0,accounti,medium
3895,0.58,1,4,258,3,0,0,0,support,medium
3896,0.84,0.76,5,172,5,1,0,0,technica,medium
3906,0.87,0.56,2,214,3,1,0,0,sales,low
3910,0.62,0.88,5,146,3,0,0,0,sales,low
3911,0.67,0.72,4,159,2,0,0,0,sales,low
3920,0.64,0.95,4,199,4,0,0,0,accounti,medium
3921,0.76,0.62,4,157,3,0,0,0,accounti,medium
3924,0.98,0.66,3,154,2,0,0,0,hr,medium
3930,0.73,0.62,4,210,4,0,0,0,technica,medium
3935,0.22,0.51,4,131,2,0,0,0,technica,medium
3937,0.74,0.6,3,153,2,0,0,0,technica,low
3941,0.58,0.71,3,205,3,0,0,0,support,low
3943,0.89,0.9,4,153,3,0,0,0,support,low
3946,0.97,0.53,4,247,3,0,0,0,support,low
3954,0.76,0.75,4,193,4,0,0,0,IT,low
3955,0.7,0.84,2,114,4,0,0,0,IT,low
3959,0.55,0.75,3,156,3,0,0,0,product_,medium
3960,0.81,0.75,5,170,3,1,0,0,product_,medium
3961,0.5,0.55,3,188,2,0,0,0,product_,medium
3963,0.64,0.5,6,254,6,0,0,0,RandD,medium
3966,0.86,0.67,5,200,3,0,0,0,RandD,medium
3970,0.57,0.56,3,224,2,0,0,0,sales,high
3977,0.67,0.66,3,237,3,0,0,0,marketin,low
3979,0.78,0.95,4,184,3,0,0,0,sales,low
3984,0.59,0.57,5,257,2,0,0,0,sales,low
3985,0.59,0.93,3,265,3,1,0,0,sales,low
3987,0.42,0.75,3,163,2,1,0,0,sales,low
3988,0.57,0.81,3,144,3,0,0,0,sales,low
3989,0.72,0.51,3,146,2,1,0,0,sales,low
3990,0.83,0.81,3,242,6,0,0,0,sales,low
3991,0.89,0.93,4,249,3,0,0,0,sales,low
3994,0.74,0.59,4,177,4,1,0,0,sales,medium
3995,0.63,0.98,4,160,2,0,0,0,sales,medium
3996,0.63,0.4,6,177,2,1,0,0,sales,medium
3997,0.61,0.97,4,153,3,0,0,0,accounti,medium
3999,0.67,0.82,4,246,4,0,0,0,accounti,medium
4003,0.34,0.85,4,123,4,0,0,0,hr,medium
4006,0.56,0.48,4,197,3,1,0,0,technica,high
4007,0.56,0.98,3,220,3,0,0,0,technica,low
4009,0.69,0.99,3,198,2,0,0,0,technica,medium
4010,0.15,0.81,4,160,5,0,0,0,technica,medium
4011,0.58,0.67,2,180,2,0,0,0,technica,medium
4014,0.66,0.92,4,229,2,0,0,0,technica,low
4015,0.81,0.78,4,159,3,0,0,0,support,low
4016,0.14,0.68,5,253,5,0,0,0,support,low
4024,0.26,0.97,3,125,2,0,0,0,support,low
4026,0.12,0.58,3,241,2,0,0,0,technica,low
4029,0.78,0.72,3,255,4,1,0,0,manageme,low
4034,0.94,0.6,4,215,2,1,0,0,IT,medium
4036,0.59,0.69,3,146,3,0,0,0,product_,medium
4039,0.79,0.73,5,155,3,0,0,0,IT,medium
4046,0.91,0.72,3,213,3,0,0,0,marketin,low
4059,0.84,0.36,6,256,5,0,0,0,sales,low
4064,0.64,0.85,5,179,2,0,0,0,sales,low
4065,0.61,0.64,4,201,3,0,0,0,sales,low
4076,0.24,0.54,4,226,4,1,0,0,accounti,medium
4077,0.8,0.8,4,252,6,0,0,0,hr,medium
4078,0.62,0.74,4,155,3,0,0,0,hr,medium
4079,1,0.85,3,202,2,0,0,0,hr,medium
4081,0.51,0.55,4,267,3,0,0,0,technica,medium
4082,0.74,0.5,4,265,3,0,0,0,technica,medium
4083,0.49,0.99,3,221,2,1,0,0,technica,medium
4084,0.96,0.83,4,132,6,0,0,0,technica,high
4090,0.53,0.83,4,249,3,1,0,0,technica,low
4091,0.17,0.48,6,270,5,0,0,0,technica,low
4092,0.57,0.76,3,200,2,0,0,0,support,low
4096,0.99,0.92,3,220,3,0,0,0,support,low
4097,0.5,0.69,4,177,2,0,0,0,support,low
4099,0.69,0.57,4,227,4,0,0,0,support,medium
4105,0.65,0.49,4,184,4,0,0,0,technica,medium
4107,0.84,0.85,4,185,3,1,0,0,IT,medium
4110,0.84,0.48,4,269,2,0,0,0,IT,medium
4111,0.68,0.87,3,168,3,0,0,0,IT,medium
4119,0.52,0.55,4,243,2,0,0,0,RandD,medium
4121,0.96,0.55,4,153,3,0,0,0,RandD,medium
4123,0.86,1,3,192,3,0,0,0,marketin,high
4127,0.14,0.76,5,260,6,0,0,0,technica,high
4128,0.74,1,4,199,4,0,0,0,manageme,high
4129,0.47,0.62,6,171,5,1,0,0,marketin,high
4130,0.6,0.56,4,260,3,0,0,0,marketin,high
4133,0.98,0.8,2,201,2,0,0,0,sales,high
4139,0.58,0.43,6,132,3,0,0,0,sales,low
4140,0.92,0.69,4,180,3,0,0,0,sales,low
4149,0.9,0.96,2,258,2,0,0,0,sales,low
4156,0.75,0.5,4,98,4,0,0,0,hr,medium
4159,0.73,0.71,5,215,6,1,0,0,technica,medium
4164,0.63,0.9,2,242,3,1,0,0,technica,high
4165,0.87,0.89,4,219,4,0,0,0,technica,high
4172,0.72,0.81,4,134,2,0,0,0,support,low
4174,0.74,0.52,3,170,3,0,0,0,support,low
4175,0.48,0.71,2,140,3,1,0,0,support,low
4176,0.84,0.76,5,215,2,1,0,0,support,low
4179,0.95,0.67,4,270,4,0,0,0,support,medium
4180,0.95,0.58,3,163,3,0,0,0,technica,medium
4181,0.7,0.85,3,188,2,0,0,0,technica,medium
4182,0.19,0.93,3,110,4,0,0,0,technica,medium
4183,0.74,0.91,5,135,3,0,0,0,manageme,medium
4187,0.69,0.69,5,160,3,0,0,0,IT,medium
4191,0.76,0.53,6,281,3,0,0,0,product_,medium
4198,0.67,0.66,6,152,3,0,0,0,RandD,medium
4202,0.49,0.71,3,255,2,1,0,0,accounti,low
4207,0.8,0.77,3,171,2,0,0,0,marketin,medium
4215,0.86,0.48,4,153,3,0,0,0,sales,low
4220,0.87,0.82,4,251,3,0,0,0,sales,high
4222,0.71,0.99,4,238,4,1,0,0,sales,high
4223,0.98,0.87,4,152,2,0,0,0,sales,high
4224,0.16,0.51,3,262,6,0,0,0,sales,low
4236,0.85,0.51,3,153,4,0,0,0,technica,medium
4238,0.62,0.7,5,270,3,0,0,0,technica,high
4243,0.73,0.91,3,238,2,0,0,0,technica,medium
4246,0.91,0.97,4,183,3,0,0,0,support,low
4248,0.86,0.82,4,252,4,0,0,0,support,low
4249,0.52,0.47,6,141,5,1,0,0,support,low
4251,0.65,0.98,3,136,3,0,0,0,support,low
4252,0.7,0.56,4,182,2,0,0,0,support,low
4254,0.92,0.53,2,261,4,0,0,0,support,low
4255,0.54,0.6,3,209,2,0,0,0,support,low
4257,0.78,0.66,4,214,2,0,0,0,technica,low
4258,0.85,0.86,4,250,3,0,0,0,technica,low
4261,0.68,0.61,5,271,2,0,0,0,IT,high
4266,0.74,0.37,6,200,3,0,0,0,product_,low
4267,0.92,0.56,5,197,2,1,0,0,product_,medium
4272,0.52,0.86,5,168,3,0,0,0,RandD,medium
4276,0.88,0.58,5,266,3,1,0,0,marketin,medium
4278,0.95,0.58,3,193,2,0,0,0,accounti,medium
4279,0.83,0.88,3,217,2,1,0,0,support,high
4282,0.55,0.97,4,136,3,0,0,0,marketin,medium
4290,0.8,0.41,3,188,4,0,0,0,sales,high
4292,0.9,0.88,4,205,2,0,0,0,sales,low
4293,0.5,0.97,4,269,3,0,0,0,sales,low
4295,0.52,0.85,3,250,4,0,0,0,sales,low
4296,0.51,0.5,5,251,3,1,0,0,sales,low
4300,0.59,0.71,5,169,2,0,0,0,sales,low
4303,0.66,1,5,145,2,0,0,0,sales,low
4309,0.7,0.87,5,239,3,0,0,0,hr,medium
4314,0.69,0.59,4,266,4,0,0,0,technica,medium
4318,0.53,0.99,3,188,3,0,0,0,technica,high
4324,0.13,0.76,5,217,3,0,0,0,support,low
4327,0.5,0.87,3,252,2,0,0,0,support,low
4331,0.67,0.6,4,210,3,0,0,0,support,low
4334,0.67,0.57,5,215,4,0,0,0,technica,low
4337,0.72,0.67,5,219,3,0,0,0,IT,low
4338,0.78,0.58,3,154,3,0,0,0,IT,low
4343,0.56,0.62,4,247,3,0,0,0,product_,low
4347,0.53,0.75,2,123,4,0,0,0,RandD,medium
4349,0.78,0.92,5,242,4,0,0,0,RandD,medium
4352,0.83,0.8,4,158,4,0,0,0,marketin,medium
4355,0.84,0.58,3,140,3,0,0,0,accounti,medium
4361,0.74,0.87,4,258,2,0,0,0,marketin,medium
4363,0.76,0.98,4,173,3,1,0,0,sales,low
4365,0.82,0.49,5,185,3,0,0,0,sales,low
4367,0.39,0.64,3,152,2,0,0,0,sales,low
4370,0.84,0.97,4,253,2,1,0,0,sales,low
4371,0.9,0.77,4,236,3,0,0,0,sales,low
4372,0.18,0.84,4,231,5,0,0,0,sales,low
4374,0.87,0.51,4,233,3,0,0,0,sales,low
4377,0.48,0.64,4,227,3,0,0,0,sales,low
4381,0.61,0.68,3,254,2,0,0,0,accounti,low
4388,0.65,0.92,3,219,3,0,0,0,technica,medium
4391,0.93,0.76,4,207,2,0,0,0,technica,medium
4393,0.49,0.55,2,173,3,0,0,0,technica,medium
4400,0.72,0.87,4,184,4,0,0,0,support,medium
4403,0.89,0.65,4,184,3,0,0,0,support,low
4408,0.73,0.52,4,215,3,0,0,0,support,low
4411,0.83,0.85,4,261,3,0,0,0,technica,low
4414,0.6,0.65,4,160,2,0,0,0,IT,low
4415,0.62,0.71,3,177,3,1,0,0,IT,low
4418,0.82,0.78,5,231,2,1,0,0,IT,low
4419,0.75,0.69,2,257,2,1,0,0,product_,low
4420,0.83,0.53,3,232,3,1,0,0,product_,low
4432,0.16,0.52,3,100,4,0,0,0,support,medium
4438,0.98,0.84,4,182,3,0,0,0,sales,medium
4439,0.72,0.72,3,217,2,0,0,0,sales,medium
4441,0.36,0.65,3,116,2,1,0,0,sales,low
4442,0.55,0.65,4,170,4,0,0,0,sales,low
4443,0.64,0.52,3,223,3,0,0,0,sales,low
4445,1,0.95,3,193,6,0,0,0,sales,low
4447,0.81,0.67,4,225,3,0,0,0,sales,low
4452,0.87,0.68,5,187,3,0,0,0,sales,low
4458,0.6,0.84,2,221,3,0,0,0,accounti,low
4461,0.23,0.37,3,247,4,0,0,0,hr,medium
4463,0.65,0.86,4,269,2,1,0,0,hr,medium
4464,0.78,0.4,6,174,3,0,0,0,technica,medium
4465,0.6,0.65,5,201,2,0,0,0,technica,medium
4466,0.9,0.62,3,254,3,0,0,0,technica,medium
4472,0.68,0.94,3,264,2,0,0,0,technica,low
4480,0.54,0.86,4,205,5,0,0,0,support,low
4482,0.75,0.65,4,148,2,0,0,0,support,low
4485,0.17,0.4,4,286,3,0,0,0,support,low
4491,0.16,0.65,5,165,3,0,0,0,IT,low
4492,0.18,0.99,4,204,6,0,0,0,IT,low
4498,0.43,0.41,4,190,3,0,0,0,product_,medium
4499,0.85,0.58,4,143,6,1,0,0,IT,medium
4502,0.43,0.6,3,138,3,0,0,1,RandD,medium
4503,0.72,0.49,3,203,3,0,0,1,RandD,medium
4504,0.95,0.96,5,175,3,1,0,1,RandD,medium
4507,0.74,0.7,5,135,2,0,0,1,accounti,medium
4508,0.5,0.6,4,200,2,0,0,1,support,medium
4511,0.8,0.65,3,135,3,0,0,1,marketin,low
4514,0.21,0.87,4,148,5,0,0,0,sales,medium
4516,0.53,0.73,4,147,3,0,0,0,sales,low
4519,0.53,0.59,3,231,2,0,0,0,sales,low
4521,0.7,0.44,2,131,2,0,0,0,sales,low
4523,0.9,0.56,3,220,3,0,0,0,sales,low
4528,0.96,0.88,3,168,2,0,0,0,sales,low
4530,0.52,0.67,3,244,3,0,0,0,sales,low
4532,0.93,0.96,5,135,3,1,0,0,sales,low
4533,0.89,0.9,4,160,2,0,0,0,accounti,low
4538,0.67,0.78,4,241,4,0,0,1,hr,medium
4541,0.54,0.85,4,157,3,0,0,1,technica,medium
4543,0.71,0.65,4,263,2,1,0,1,technica,medium
4548,0.79,0.65,5,228,3,0,0,1,technica,medium
4551,0.65,0.8,6,233,3,1,0,1,support,medium
4552,0.53,0.74,5,237,2,0,0,1,support,medium
4554,1,0.76,6,246,3,1,0,1,support,medium
4556,1,0.59,3,168,3,0,0,1,support,low
4557,0.23,0.67,4,163,5,0,0,1,support,low
4558,0.52,0.77,3,142,2,0,0,1,support,low
4560,0.59,0.72,4,264,3,0,0,0,support,low
4562,0.99,0.58,4,138,3,0,0,0,technica,low
4564,0.87,0.95,4,251,3,0,0,0,technica,medium
4570,0.55,0.62,5,226,3,0,0,0,IT,medium
4572,0.69,0.92,4,149,2,0,0,0,product_,medium
4576,0.71,0.74,3,202,2,0,0,0,RandD,medium
4581,0.78,0.98,4,157,3,0,0,0,marketin,medium
4585,0.83,0.53,5,182,2,1,0,0,technica,medium
4590,0.99,0.91,3,241,2,0,0,0,sales,high
4592,0.88,0.59,5,147,4,0,0,0,sales,high
4600,0.49,0.56,4,260,6,0,0,0,sales,low
4606,0.85,0.57,5,210,3,0,0,0,sales,low
4618,0.79,0.87,5,240,2,1,0,0,technica,medium
4625,0.54,0.81,4,264,4,0,0,0,technica,medium
4629,0.98,0.81,3,180,2,1,0,0,support,high
4630,0.9,1,2,114,5,0,0,0,support,high
4634,0.19,0.76,2,158,3,0,0,0,support,high
4643,0.59,0.82,2,233,2,0,0,0,IT,medium
4647,0.8,0.94,4,141,3,1,0,0,product_,medium
4650,0.19,0.64,6,222,5,0,0,0,product_,medium
4664,0.63,0.56,5,286,4,0,0,0,marketin,medium
4678,0.58,0.75,4,253,2,0,0,0,sales,low
4680,0.69,0.98,3,214,2,0,0,0,sales,low
4689,0.85,0.6,4,255,4,0,0,0,hr,low
4702,0.28,0.76,3,150,2,0,0,0,technica,medium
4703,0.77,0.61,4,178,2,1,0,0,support,high
4705,0.56,0.76,3,134,2,0,0,0,support,high
4706,0.81,1,5,143,2,0,0,0,support,low
4707,0.83,0.87,3,156,3,0,0,0,support,medium
4708,0.49,0.48,4,249,3,0,0,0,support,medium
4710,0.56,0.92,5,222,4,0,0,0,support,medium
4715,0.79,0.89,3,104,4,0,0,0,technica,low
4717,0.8,0.79,4,168,3,0,0,0,manageme,low
4724,0.49,0.58,4,213,4,1,0,0,product_,low
4728,0.76,0.96,4,135,3,1,0,1,RandD,low
4730,0.6,0.9,4,178,3,0,0,1,RandD,high
4738,0.55,0.85,3,152,2,0,0,1,manageme,medium
4740,0.48,0.53,3,113,4,0,0,0,marketin,medium
4742,0.61,0.5,4,271,3,1,0,0,sales,medium
4743,0.5,0.74,4,165,2,1,0,0,sales,medium
4748,0.78,0.58,3,224,2,0,0,0,sales,medium
4752,0.14,0.83,5,153,5,1,0,0,sales,medium
4754,1,0.84,3,154,3,0,0,0,sales,medium
4756,0.86,0.66,3,150,2,0,0,0,sales,low
4758,0.85,0.84,5,179,3,0,0,0,sales,low
4760,0.65,0.65,4,224,3,0,0,0,sales,low
4761,0.7,0.55,3,253,2,1,0,0,accounti,low
4765,0.89,0.75,3,134,3,0,0,0,hr,low
4766,0.98,0.91,4,273,2,0,0,0,hr,low
4774,0.85,0.57,5,190,2,1,0,0,technica,medium
4779,0.63,0.9,3,142,3,0,0,0,support,medium
4780,0.59,0.62,3,203,4,0,0,0,support,medium
4782,0.72,0.7,3,149,3,0,0,0,support,medium
4786,0.83,0.84,3,249,2,0,0,0,support,medium
4787,0.73,0.93,4,162,2,1,0,0,support,medium
4791,0.7,0.54,4,150,4,0,0,0,technica,low
4794,0.56,0.52,4,158,2,0,0,0,IT,low
4796,0.55,0.81,5,251,3,0,0,0,IT,low
4799,0.33,0.82,5,249,6,0,0,0,product_,low
4802,0.17,0.91,4,260,5,0,0,0,product_,low
4807,0.6,0.56,4,138,3,0,0,0,RandD,low
4814,0.72,0.92,3,225,3,0,0,0,manageme,medium
4816,0.92,0.56,4,170,3,0,0,0,marketin,medium
4818,0.41,0.68,4,273,3,0,0,0,sales,medium
4819,0.5,0.43,3,184,2,0,0,0,sales,medium
4821,0.67,0.83,4,195,3,0,0,0,sales,medium
4825,0.62,0.54,3,142,2,0,0,0,sales,medium
4830,0.83,0.77,3,171,3,0,0,0,sales,low
4832,0.98,0.75,5,188,2,0,0,0,sales,low
4839,0.46,0.38,6,165,3,0,0,0,accounti,low
4841,0.77,0.86,4,215,2,0,0,0,hr,low
4842,0.68,0.83,3,133,3,0,0,0,hr,low
4844,0.7,0.98,4,176,5,0,0,0,technica,low
4847,0.57,0.57,4,141,3,0,0,0,technica,low
4849,0.14,0.83,5,171,6,0,0,0,technica,medium
4853,0.77,0.55,2,172,2,0,0,0,technica,medium
4861,0.5,0.85,4,224,6,0,0,0,support,high
4862,0.52,0.91,5,193,2,0,0,0,support,low
4864,0.99,0.87,4,223,3,0,0,0,support,medium
4865,0.91,0.99,3,188,3,1,0,0,support,medium
4866,0.85,0.79,3,217,2,0,0,0,technica,medium
4867,0.95,0.69,4,207,2,1,0,0,technica,low
4868,0.67,0.85,3,153,4,0,0,0,technica,low
4872,0.57,0.61,3,167,2,1,0,0,IT,low
4873,0.98,0.72,3,252,2,0,0,0,IT,low
4874,0.62,0.58,3,192,2,0,0,0,IT,low
4875,0.74,0.79,5,237,4,0,0,0,product_,low
4876,0.7,0.6,4,158,3,0,0,0,product_,low
4877,0.8,0.93,3,260,3,0,0,0,product_,low
4882,0.16,0.96,6,211,6,1,0,0,RandD,low
4886,0.7,0.74,4,247,2,0,0,0,sales,low
4888,0.65,0.88,4,268,4,0,0,0,support,medium
4890,0.57,0.68,4,154,3,1,0,0,manageme,medium
4892,0.95,0.78,3,204,2,1,0,0,marketin,medium
4893,0.38,0.54,2,112,3,0,0,0,marketin,medium
4895,0.5,0.4,3,180,4,0,0,0,sales,medium
4897,0.5,0.78,6,138,3,0,0,0,sales,medium
4900,0.92,0.92,3,244,2,0,0,0,sales,high
4902,0.9,0.78,4,225,2,1,0,0,sales,medium
4905,0.7,0.85,4,232,3,0,0,0,sales,medium
4917,0.99,0.52,4,167,3,0,0,0,hr,low
4920,0.55,0.93,3,217,3,1,0,0,technica,low
4927,0.69,0.49,3,198,4,0,0,0,technica,medium
4928,0.67,0.58,3,246,3,0,0,0,technica,medium
4929,0.55,0.49,3,146,2,0,0,0,technica,medium
4933,0.39,0.38,2,106,3,1,0,0,support,medium
4935,0.68,0.81,3,232,2,0,0,0,support,medium
4938,0.56,0.58,3,173,3,0,0,0,support,medium
4942,0.42,0.59,3,156,2,0,0,0,technica,low
4949,0.59,0.77,3,169,3,0,0,0,IT,low
4953,0.55,0.55,4,191,4,0,0,0,product_,low
4955,0.8,0.51,5,196,3,0,0,0,IT,low
4959,0.61,0.7,4,243,3,0,0,0,RandD,low
4965,0.64,0.71,3,231,4,0,0,0,technica,medium
4966,0.77,0.89,2,215,5,1,0,0,manageme,medium
4971,0.74,0.59,2,257,4,1,0,0,sales,medium
4972,0.63,0.74,4,155,2,0,0,0,sales,medium
4975,0.14,0.81,4,138,3,1,0,0,sales,high
4977,0.73,0.53,3,205,2,0,0,0,sales,medium
4980,0.67,0.36,4,97,4,0,0,0,sales,medium
4981,0.89,0.74,4,174,2,0,0,0,sales,low
4983,0.3,0.51,2,178,3,0,0,0,sales,low
4984,0.14,0.73,5,266,6,0,0,0,sales,low
4985,0.91,0.8,4,181,3,0,0,0,sales,low
4986,0.49,0.81,4,233,3,0,0,0,sales,low
4987,0.57,0.68,3,254,4,0,0,0,sales,low
4988,0.59,0.62,3,219,3,0,0,0,sales,low
4993,0.55,0.91,4,187,4,1,0,0,hr,low
4997,0.53,0.92,4,223,3,1,0,0,technica,low
4998,0.77,0.59,5,189,5,0,0,0,technica,low
5000,0.64,0.97,4,268,2,0,0,0,technica,low
5001,0.35,1,6,186,2,0,0,0,technica,low
5006,0.12,0.6,2,194,4,0,0,0,technica,medium
5007,0.74,0.68,3,242,5,1,0,0,support,medium
5010,0.94,0.71,4,189,3,0,0,0,support,medium
5012,0.52,0.54,5,239,3,0,0,0,support,medium
5015,0.92,1,3,212,2,0,0,0,support,low
5016,0.56,0.64,3,270,3,0,0,0,support,medium
5023,0.7,0.69,4,158,3,0,0,0,IT,low
5027,0.84,0.91,5,208,3,0,0,0,product_,low
5032,0.16,0.99,3,213,6,1,0,1,RandD,medium
5035,0.47,0.51,6,190,5,0,0,1,RandD,medium
5039,0.91,0.74,5,192,3,0,0,1,accounti,medium
5046,0.41,0.58,5,274,2,1,0,0,sales,medium
5047,0.53,0.7,3,138,2,0,0,0,sales,medium
5048,0.93,0.6,4,184,3,0,0,0,sales,medium
5051,0.74,0.8,4,241,2,0,0,0,sales,medium
5055,0.75,0.9,4,197,2,0,0,0,sales,medium
5057,0.43,0.98,4,164,3,0,0,1,sales,medium
5059,0.67,1,4,145,3,1,0,1,sales,medium
5067,0.5,0.48,3,163,4,0,0,0,accounti,low
5072,0.69,0.74,4,237,3,0,0,0,technica,low
5076,0.98,0.42,5,226,3,0,0,0,technica,low
5078,0.22,0.69,4,182,6,0,0,0,technica,low
5079,0.71,0.95,3,150,2,0,0,0,technica,low
